time,weighted_temperature_2m,weighted_relative_humidity_2m,weighted_apparent_temperature,weighted_precipitation,weighted_wind_speed_10m,weighted_CDD
2026-08-01 00:00:00,26.351492999999998,86.733176,30.5788833,0.1062761,13.266717299999998,4.351492999999998
2026-08-01 01:00:00,25.969985200000004,89.649922,30.236559000000003,1.0370451,13.3231413,3.9699852000000035
2026-08-01 02:00:00,25.7044264,89.944212,29.8703267,0.1101467,13.520415299999998,3.704426399999999
2026-08-01 03:00:00,25.474374,90.80531900000001,29.4625783,0.1561605,13.9563444,3.474374000000001
2026-08-01 04:00:00,25.521042199999997,90.760843,29.570292700000007,0.5910001,13.710255700000001,3.5210421999999966
2026-08-01 05:00:00,25.495055400000002,92.67278400000001,29.776483,0.1968994,13.275401200000001,3.495055400000002
2026-08-01 06:00:00,25.7167814,90.19384000000001,29.8185359,0.5035739,13.7640732,3.7167813999999986
2026-08-01 07:00:00,26.0179756,88.153276,30.030892899999998,0.3692101,14.249024399999998,4.0179756
2026-08-01 08:00:00,26.554843400000003,85.72823700000001,30.2392411,0.21246489999999998,16.5008592,4.554843400000003
2026-08-01 09:00:00,27.907661700000002,78.770649,31.7336174,0.19461469999999997,15.872447799999998,5.907661700000002
2026-08-01 10:00:00,28.8034071,74.695611,32.6569886,0.2513418,16.4943504,6.803407100000001
2026-08-01 11:00:00,28.4488285,76.799348,33.0834378,0.3429271000000001,15.1433132,6.448828500000001
2026-08-01 12:00:00,29.2298176,73.68944900000001,33.889107599999996,0.6502621999999999,14.4511991,7.2298176000000005
2026-08-01 13:00:00,29.1005754,72.806589,33.1991283,0.8702222,15.886655600000003,7.1005754
2026-08-01 14:00:00,29.3733783,71.63225700000001,33.2161329,0.29041639999999996,15.508241700000001,7.373378299999999
2026-08-01 15:00:00,28.513389299999996,75.334472,32.077503,0.8702009,16.2830552,6.5133892999999965
2026-08-01 16:00:00,28.530865900000002,78.090453,32.8106808,0.5644316,14.1421788,6.530865900000002
2026-08-01 17:00:00,28.759159800000003,75.71388599999999,32.751660599999994,0.8299144999999999,15.292708700000002,6.759159800000003
2026-08-01 18:00:00,27.5348367,83.808301,32.226719100000004,1.6022764,12.314266400000001,5.5348367
2026-08-01 19:00:00,27.2366791,84.669078,31.8831624,1.2738853,12.1999966,5.2366791
2026-08-01 20:00:00,26.9493958,86.90026200000001,31.636748700000002,0.26376900000000003,12.7005199,4.949395800000001
2026-08-01 21:00:00,26.950127100000003,86.845186,31.530516500000004,0.0557894,13.243651100000001,4.950127100000003
2026-08-01 22:00:00,26.684511000000004,86.24364700000001,30.9664873,0.0586134,13.7690435,4.684511000000004
2026-08-01 23:00:00,26.433374399999998,85.20570000000001,30.1431829,0.0293067,15.5994355,4.433374399999998
2026-08-02 00:00:00,26.094754499999997,86.55076200000002,29.8444803,0.0681382,15.0114834,4.094754499999997
2026-08-02 01:00:00,25.876807799999998,87.62168199999999,29.8672065,0.16293870000000002,13.606459300000001,3.876807799999998
2026-08-02 02:00:00,25.7682708,88.38721100000001,29.9075135,0.24979210000000002,12.7864348,3.7682708
2026-08-02 03:00:00,25.4750227,90.083105,29.852499300000005,0.16329790000000002,11.4560984,3.4750227000000002
2026-08-02 04:00:00,25.5769864,90.19158,29.922511899999996,0.06319469999999999,11.814091399999999,3.576986399999999
2026-08-02 05:00:00,25.665709500000002,91.84760700000001,30.095696299999997,0.1049725,12.953481499999999,3.665709500000002
2026-08-02 06:00:00,25.471614000000002,91.967575,29.635459799999996,0.3132855,13.8876726,3.4716140000000024
