Model,MAE,RMSE,MAPE(%),R2
Gradient Boosting,667.1768577924596,862.0546112560781,0.2852213376490731,0.9937292439612364
Random Forest,872.6942945931308,1170.0935398013562,0.3725332789427739,0.9884470868211189
Linear Regression,878.0625512379473,1175.161840026456,0.37574569545250636,0.9883467863852976
MLP (Neural Net),1823.0246245243495,2282.1761008689127,0.7801733925921679,0.9560510349234961
Naive (t-96),6091.777083333333,7110.456648339589,2.6086999419588306,0.573375951878166
