Model,MAE,RMSE,MAPE(%),R2
Gradient Boosting,667.1768577924596,862.0546112560781,0.2852213376490731,0.9937292439612364
Random Forest,872.6942945931315,1170.093539801357,0.3725332789427742,0.9884470868211188
Linear Regression,878.0625512379473,1175.161840026456,0.3757456954525063,0.9883467863852976
MLP (Neural Net),1823.0246245243493,2282.1761008689127,0.7801733925921679,0.956051034923496
LSTM,2894.2575846354157,3842.8822884868573,1.233029753144161,0.8753866676133184
Naive (t-96),6091.777083333333,7110.456648339589,2.6086999419588306,0.573375951878166
